catalogue_name,variant_name,Selling_price,Making_cost
Classic Tea,250 Ml,99,20
Classic Tea,500 Ml,169,38
Ginger Tea,250 Ml,99,20
Ginger Tea,500 Ml,169,38
Masala Tea,250 Ml,99,20
Masala Tea,500 Ml,169,38
Cardamom Elaichi Tea,250 Ml,99,20
Cardamom Elaichi Tea,500 Ml,169,38
Chamomile Tea,Hot Tea x 175 Ml,139,
Chamomile Tea,Iced Tea x 175 Ml,159,
Green Matcha Vanilla Latte,175 Ml x Hot Matcha Vanilla Latte,189,
Green Matcha Vanilla Latte,175 Ml x Iced Matcha Vanilla Latte,209,
Oolong Rose Tea,Hot Tea,159,
Oolong Rose Tea,Iced Tea,159,
Fruit Bliss Tea,Hot Tea,159,
Fruit Bliss Tea,Iced Tea,169,
Bold Dark Roast Black Coffee,Nescafe Classic,109,
Bold Dark Roast Black Coffee,Davidoff Espresso 57,139,
Premium Cold Coffee,Nescafe Classic,159,
Premium Cold Coffee,Davidoff Fine Aroma,195,
Nutella Cold Coffee,Davidoff Fine Aroma,255,
Nutella Cold Coffee,Nescafe Classic,195,
Creamy Milk Hot Coffee,Nescafe Classic x 175 Ml,145,
Creamy Milk Hot Coffee,Nescafe Classic x 475 Ml,225,
Creamy Milk Hot Coffee,Davidoff Fine Aroma x 175 Ml,185,
Creamy Milk Hot Coffee,Davidoff Fine Aroma x 475 Ml,295,
Rich Dark Milk Hot Coffee,Nescafe Classic x 175 Ml,155,
Rich Dark Milk Hot Coffee,Nescafe Classic x 475 Ml,249,
Rich Dark Milk Hot Coffee,Davidoff Rich Aroma x 175 Ml,225,
Rich Dark Milk Hot Coffee,Davidoff Rich Aroma x 475 Ml,349,
Classic Hot Chocolate,Classic Hot Chocolate,155,
Cold Coffee,Cold Coffee,159,
Gudhal Red Tea,175 Ml x Hot Tea,139,
Gudhal Red Tea,175 Ml x Iced Tea,159,
Tulsi Tea,175 Ml x Hot Tea,139,
Tulsi Tea,175 Ml x Iced Tea,159,
Ginger Lemongrass Tea,175 Ml x Hot Tea,139,
Ginger Lemongrass Tea,175 Ml x Iced Tea,159,
Beetroot Carrot Kanji,250 Ml,79,5
Beetroot Carrot Kanji,350 Ml,109,8
Sattu Beverage,250 Ml,119,
Sattu Beverage,350 Ml,139,
Nimbu Paani,250 Ml,99,5
Nimbu Paani,350 Ml,119,8
Special Masala Buttermilk,250 Ml,89,8
Special Masala Buttermilk,350 Ml,129,10
Aloo Paratha With Butter [Serves 2],Aloo Paratha With Butter [Serves 2],119,22
Gobhi Paratha With Butter [Serves 2],Gobhi Paratha With Butter [Serves 2],129,23
Pyaaj Paratha with Butter [Serves 2],Pyaaj Paratha with Butter [Serves 2],119,21
Sev Paratha with Butter [Serves 2],Sev Paratha with Butter [Serves 2],129,22
Paneer Paratha with Butter [Serves 2],Paneer Paratha with Butter [Serves 2],179,36
Cheese Paratha with Schezwan Sauce [Serves 2],Cheese Paratha with Schezwan Sauce [Serves 2],189,24
Veg Hakka Noodles,Veg Hakka Noodles,149,35
Burnt Garlic Noodles,Burnt Garlic Noodles,189,40
Veg Chowmein,Veg Chowmein,149,42
Veg Fried Rice,Veg Fried Rice,149,
Schezwan Fried Rice,Schezwan Fried Rice,149,
Alfredo Pasta In White Sauce,Alfredo Pasta In White Sauce,195,49
Arrabiata Pasta in Red Sauce,Arrabiata Pasta in Red Sauce,189,39
Spicy Peri Peri Pasta,Spicy Peri Peri Pasta,189,41
Vegetable Peri Peri Maggie,Vegetable Peri Peri Maggie,99,25
Kids Friendly Maggi,Kids Friendly Maggi,69,14
Veg Masala Maggi,Veg Masala Maggi,89,22
Veg Paneer Cheese Burst Sandwich,Veg Paneer Cheese Burst Sandwich,189,62
Cheese Chutney Grilled Sandwich,Cheese Chutney Grilled Sandwich,89,22
The Toss Treat - Masala Maggi + Sandwich Combo,The Toss Treat - Masala Maggi + Sandwich Combo,169,34
Last Over Loot Vegetable Maggi with Cold Coffee,Last Over Loot Vegetable Maggi with Cold Coffee,195,34
"Powerplay Platter - Maggi, Sandwich & Cold Coffee","Powerplay Platter - Maggi, Sandwich & Cold Coffee",229,54
Middle Overs Munch Peri Peri Maggi with Sandwich and Red Bull,Middle Overs Munch Peri Peri Maggi with Sandwich and Red Bull,449,145
Masala Maggi & Cold Coffee,Masala Maggi & Cold Coffee,159,34
Cheese chutney grilled sandwich and cold coffee,Cheese chutney grilled sandwich and cold coffee,139,44
French Fries,French Fries,79,39
Vrat Thali,Vrat Thali,215,39
Navratri Special,Navratri Special,185,44
Sabudana Khichdi With Curd,Sabudana Khichdi With Curd,109,27
Sabudana Vada,Sabudana Vada,86,20
Rajgira Pakoda [100 Grams],Rajgira Pakoda [100 Grams],119,22
Rajgira Laddu,Rajgira Laddu,50,14
Halwa Poori,Halwa Poori,259,
Sabudana Khichdi,Sabudana Khichdi,89,22
Sev Tamatar Combo,Sev Tamatar Combo,129,33
